EIN JUDE;FAUST;1
FAUST;WAGNER;6
FAUST;MARIANE;5
FAUST;XAVER;2
FAUST;LISETTE;1
FAUST;THEODORA;2
FAUST;MORITZ;1
FAUST;ROCHUS;2
FAUST;PAULINA;6
FAUST;SATAN;3
FAUST;GOG;10
FAUST;RUDOLPH;3
WAGNER;XAVER;4
MARIANE;WAGNER;13
MARIANE;XAVER;4
MARIANE;THEODORA;6
MARIANE;MORITZ;2
MARIANE;PAULINA;2
MARIANE;SATAN;1
LISETTE;THEODORA;6
LISETTE;MORITZ;1
THEODORA;WAGNER;4
THEODORA;XAVER;6
MORITZ;WAGNER;1
MORITZ;XAVER;1
MORITZ;THEODORA;4
MORITZ;ROCHUS;3
MORITZ;PAULINA;2
ROCHUS;SATAN;1
PAULINA;WAGNER;2
PAULINA;XAVER;3
PAULINA;THEODORA;3
PAULINA;ROCHUS;2
PAULINA;SATAN;1
SATAN;WAGNER;1
SATAN;SEBUB;2
HEROLD;SATAN;3
HEROLD;MAGOG;1
HEROLD;SEBUB;1
HEROLD;MELECH;1
MAGOG;SATAN;2
MAGOG;SEBUB;2
MAGOG;MELECH;2
BELIAL;SATAN;2
BELIAL;HEROLD;1
BELIAL;MAGOG;2
BELIAL;SEBUB;2
BELIAL;DIE SATANE;2
BELIAL;MELECH;2
BELIAL;GOG;2
BELIAL;DRAGON;2
ABDON;SATAN;2
ABDON;HEROLD;1
ABDON;MAGOG;2
ABDON;BELIAL;2
ABDON;SEBUB;2
ABDON;DIE SATANE;2
ABDON;MELECH;2
ABDON;GOG;2
ABDON;DRAGON;2
DIE SATANE;SATAN;2
DIE SATANE;HEROLD;1
DIE SATANE;MAGOG;2
DIE SATANE;SEBUB;2
DIE SATANE;MELECH;2
DIE SATANE;GOG;2
DIE SATANE;DRAGON;2
MELECH;SATAN;2
MELECH;SEBUB;2
GOG;SATAN;4
GOG;HEROLD;2
GOG;MAGOG;2
GOG;SEBUB;2
GOG;MELECH;2
GOG;RUDOLPH;1
DRAGON;SATAN;2
DRAGON;HEROLD;1
DRAGON;MAGOG;2
DRAGON;SEBUB;2
DRAGON;MELECH;2
DRAGON;GOG;2
STUP;XAVER;1
BANQUIER;XAVER;1
BANQUIER;STUP;1
RUDOLPH;WAGNER;2
RUDOLPH;SATAN;1
EIN BEDIENTER;MORITZ;1
EIN BEDIENTER;ROCHUS;1
EIN BEDIENTER;PAULINA;1
